City,State,Number_of_Incidents,Requires_De_Escalation,Has_Use_of_Force_Continuum,Bans_Chokeholds_and_Strangleholds,Requires_Warning_Before_Shooting,Restricts_Shooting_at_Moving_Vehicles,Requires_Exhaust_All_Other_Means_Before_Shooting,Duty_to_Intervene,Requires_Comprehensive_Reporting,City Population
Pacifica,CA,2,0,0,1,1,0,0,1,0,38663.0
Palm Springs,CA,9,0,0,1,1,0,0,1,0,48390.0
Palo Alto,CA,2,0,0,1,1,0,0,1,0,67973.0
Pasadena,CA,16,0,0,1,1,0,0,1,0,142017.0
Petaluma,CA,5,1,0,1,1,0,0,1,0,60865.0
Pflugerville,TX,1,0,1,0,1,0,0,1,1,63610.0
Philadelphia,PA,229,1,1,1,1,1,1,1,0,1581531.0
Phoenix,AZ,251,1,1,1,1,1,1,1,0,1658422.0
Pine Bluff,AR,11,1,1,1,1,0,0,1,0,42323.0
Pinole,CA,3,1,0,1,1,0,0,1,0,19343.0
Pittsburg,CA,15,0,1,1,1,0,0,1,0,71723.0
Pittsburgh,PA,61,1,1,0,1,0,0,0,0,301286.0
Placentia,CA,2,0,0,1,1,0,0,1,0,52049.0
Plano,TX,8,0,1,1,1,0,1,0,1,288870.0
Pleasant Hill,CA,1,1,0,1,1,0,0,1,0,34903.0
Pleasanton,CA,6,0,0,1,1,0,0,1,0,79975.0
Pomona,CA,20,0,0,1,1,0,0,1,0,151124.0
Portland,ME,5,1,0,1,1,0,0,1,0,66706.0
Portland,OR,68,1,1,1,1,0,0,1,1,650380.0
Princeton,NJ,2,1,1,1,1,1,1,1,1,31161.0
Providence,RI,10,1,1,1,1,0,0,1,1,179472.0
Raleigh,NC,24,0,1,1,1,0,1,1,1,469698.0
Rancho Palos Verdes,CA,1,0,0,1,1,0,0,1,0,41635.0
Red Wing,MN,1,0,1,1,1,0,0,1,0,16366.0
Redding,CA,29,1,1,1,1,0,0,1,0,92025.0
Redlands,CA,8,0,0,1,1,0,0,1,0,71680.0
Redondo Beach,CA,3,0,0,1,1,0,0,1,0,66663.0
Redwood,CA,9,0,0,1,1,0,0,1,0,84518.0
Reno,NV,41,1,0,1,1,0,0,1,0,250903.0
Renton,WA,11,0,0,0,1,0,0,1,0,101871.0
Richmond,CA,24,0,0,1,1,0,0,1,0,110051.0
Richmond,VA,57,0,1,0,1,1,0,1,0,229233.0
Riverside,CA,49,1,1,1,1,0,0,1,0,327569.0
Rochester,NY,16,0,1,1,0,0,0,0,0,206357.0
Rockford,IL,27,0,0,0,0,0,0,0,0,147441.0
Rocklin,CA,3,1,0,1,1,0,0,1,0,67070.0
Roseville,CA,13,0,0,1,1,0,0,1,0,138860.0
Roseville,MN,2,1,0,1,1,0,0,1,0,36139.0
Rowlett,TX,1,1,0,1,1,0,0,1,0,65426.0
Sacramento,CA,77,1,0,1,1,0,1,1,1,503482.0
Saginaw,MI,17,1,1,1,1,1,1,1,0,48407.0
Salem,OR,13,1,1,1,1,1,1,1,1,171806.0
Salina,KS,9,1,1,1,1,0,0,1,1,46706.0
Salinas,CA,20,1,0,1,1,0,0,1,0,156177.0
Salt Lake,UT,56,0,1,0,1,0,0,1,1,200133.0
San Antonio,TX,230,1,1,1,1,0,1,1,1,1529133.0
San Bernardino,CA,82,1,1,1,1,0,0,1,0,216784.0
San Bruno,CA,2,0,0,1,1,0,0,1,0,44663.0
San Diego,CA,132,1,1,1,1,0,1,1,1,1414545.0
San Francisco,CA,95,1,1,1,1,1,1,1,1,874784.0
San Jose,CA,83,1,1,1,1,0,0,1,1,1029409.0
San Leandro,CA,8,1,0,1,1,0,0,1,0,90489.0
San Luis Obispo,CA,3,1,0,1,1,0,0,1,0,47402.0
San Marcos,TX,10,0,0,1,1,0,0,1,0,64053.0
San Mateo,CA,7,0,0,1,1,0,0,1,0,103619.0
San Ramon,CA,3,0,0,1,1,0,0,1,0,81344.0
